Date,Open,High,Low,Close,Volume
24-Dec-25,35.17,36.18,34.95,36.16,"37,443,800"
23-Dec-25,36.24,36.8,36.03,36.35,"35,958,000"
22-Dec-25,37.89,37.9,36.29,36.37,"51,685,400"
19-Dec-25,36.48,37.58,36.44,36.82,"163,221,300"
18-Dec-25,37.38,37.49,35.67,36.28,"69,468,400"
17-Dec-25,37.59,37.84,35.97,36.05,"54,792,000"
16-Dec-25,37.58,37.96,36.92,37.31,"50,490,300"
15-Dec-25,38.33,38.48,37.32,37.51,"60,898,500"
12-Dec-25,39.25,40.03,37.62,37.81,"87,784,500"
11-Dec-25,40.07,40.19,39.08,39.51,"59,096,800"
10-Dec-25,40.11,40.99,38.89,40.78,"75,974,900"
9-Dec-25,40.73,41.26,40.03,40.5,"61,877,200"
8-Dec-25,41.94,42.12,39.7,40.3,"93,953,600"
5-Dec-25,41.16,42.83,41.15,41.41,"103,042,000"
4-Dec-25,43.26,43.28,40.14,40.5,"107,850,200"
3-Dec-25,43.39,44.02,42.51,43.76,"91,957,200"
2-Dec-25,40.47,43.68,40.05,43.47,"167,205,800"
1-Dec-25,39.86,40.38,39.6,40.01,"74,534,900"
28-Nov-25,37.4,40.59,37.34,40.56,"95,799,500"
26-Nov-25,36.2,37.24,36.13,36.81,"54,563,400"
25-Nov-25,35.55,36.13,34.68,35.83,"62,203,300"
24-Nov-25,34.97,36.16,34.69,35.79,"103,804,200"
21-Nov-25,33.51,34.98,32.89,34.5,"105,641,700"
20-Nov-25,36,36.68,33.48,33.62,"96,389,100"
19-Nov-25,34.33,35.75,34.25,35.11,"67,115,500"
18-Nov-25,34.25,34.76,33.57,34.33,"61,504,800"
17-Nov-25,35.45,35.73,34.23,34.71,"72,580,100"
14-Nov-25,35.03,36.1,34.62,35.52,"71,716,200"
13-Nov-25,37.27,37.31,35.45,35.91,"95,593,200"
12-Nov-25,38.06,38.2,37.35,37.89,"53,876,000"
11-Nov-25,38.15,38.22,37.49,37.88,"53,741,900"
10-Nov-25,38.93,39.53,37.97,38.45,"77,820,300"
7-Nov-25,37.26,38.27,36.97,38.13,"95,521,400"
6-Nov-25,38.34,39.84,36.8,37.24,"77,629,900"
5-Nov-25,37.42,38.69,37.11,38.38,"74,631,600"
4-Nov-25,38.14,38.25,36.63,37.03,"102,250,300"
3-Nov-25,40.25,40.45,39.05,39.5,"61,267,500"
31-Oct-25,40.68,40.83,39.79,39.99,"80,471,400"
30-Oct-25,40.97,41.43,40.11,40.16,"84,855,500"
29-Oct-25,41.6,42.04,40.92,41.34,"106,962,900"
28-Oct-25,39.59,42.48,39.54,41.53,"181,256,400"
27-Oct-25,38.39,40.67,38.23,39.54,"160,007,600"
24-Oct-25,40.02,41.12,37.83,38.28,"246,380,000"
23-Oct-25,36.6,38.4,36.43,38.16,"121,974,200"
22-Oct-25,37.84,37.93,36.04,36.92,"87,099,900"
21-Oct-25,38.14,38.35,37.67,38.12,"73,134,900"
20-Oct-25,37.57,38.52,37.56,38.1,"80,230,200"
17-Oct-25,36.36,38.38,36.08,37.01,"119,394,700"
16-Oct-25,37.15,38.02,36.41,36.84,"83,357,800"
15-Oct-25,36.4,37.49,35.64,37.15,"99,242,700"
14-Oct-25,36,36.55,34.69,35.63,"117,908,300"
13-Oct-25,36.44,37.51,36.28,37.22,"104,020,700"
10-Oct-25,38.46,39.65,36.3,36.37,"183,063,300"
9-Oct-25,37.53,38.1,36.86,37.8,"89,884,700"
8-Oct-25,36.55,37.79,35.91,37.43,"103,202,100"
7-Oct-25,36.64,38.05,36.35,37.17,"111,140,200"
6-Oct-25,37.19,38.68,36.43,36.59,"112,086,100"
3-Oct-25,37.95,38.08,36.45,36.83,"125,359,300"
2-Oct-25,35.76,37.57,35.44,37.3,"149,361,700"
1-Oct-25,33.53,36.06,33.5,35.94,"162,649,700"
30-Sep-25,33.93,34.24,33.02,33.55,"124,818,400"
29-Sep-25,34.52,35.05,33.73,34.48,"152,605,900"
26-Sep-25,35.02,36.3,34.49,35.5,"268,583,300"
25-Sep-25,31.61,34.25,31.21,33.99,"295,709,300"
24-Sep-25,29.38,31.7,29.23,31.22,"164,458,500"
23-Sep-25,28.99,30.2,28.82,29.34,"126,317,900"
22-Sep-25,29.67,30.1,28.73,28.76,"130,314,500"
19-Sep-25,30.38,30.63,29.33,29.58,"225,702,900"
18-Sep-25,31.78,32.38,30.16,30.57,"523,908,000"
17-Sep-25,25.08,25.26,24.45,24.9,"63,093,700"
16-Sep-25,24.82,25.34,24.69,25.27,"60,336,600"
15-Sep-25,24.33,25.46,24.22,24.77,"83,951,600"
12-Sep-25,24.61,24.63,24.05,24.08,"52,672,800"
11-Sep-25,24.76,24.93,24.57,24.61,"55,536,900"
10-Sep-25,24.42,24.87,24.28,24.77,"61,600,700"
9-Sep-25,24.53,24.81,24.27,24.44,"42,146,200"
8-Sep-25,24.48,24.74,24.12,24.48,"51,122,100"
5-Sep-25,24.6,24.71,24.17,24.49,"55,975,300"
4-Sep-25,23.85,24.64,23.75,24.61,"59,056,500"
3-Sep-25,24.09,24.09,23.72,24,"47,822,900"
2-Sep-25,23.88,24.24,23.68,24.21,"57,661,800"
29-Aug-25,24.76,24.97,24.28,24.35,"63,734,400"
28-Aug-25,24.96,25.14,24.61,24.93,"60,035,100"
27-Aug-25,24.19,24.99,24.05,24.85,"90,934,400"
26-Aug-25,24.58,24.74,24.1,24.35,"78,558,200"
25-Aug-25,25.5,25.88,24.44,24.55,"156,825,600"
22-Aug-25,23.65,25.23,23.65,24.8,"200,266,800"
21-Aug-25,23.53,23.57,22.78,23.5,"97,718,300"
20-Aug-25,24.9,24.93,23.33,23.54,"161,149,400"
19-Aug-25,24.94,26.53,24.94,25.31,"297,659,200"
18-Aug-25,24,24.9,23.21,23.66,"212,515,600"
15-Aug-25,25.01,25.65,24.11,24.56,"310,161,100"
14-Aug-25,21.99,24.2,21.9,23.86,"188,052,500"
13-Aug-25,21.62,22.3,21.36,22.22,"86,024,400"
12-Aug-25,21.2,21.86,20.76,21.81,"134,153,600"
11-Aug-25,20.45,21.6,20.44,20.65,"175,545,600"
8-Aug-25,20,20.02,19.61,19.95,"75,415,000"
7-Aug-25,20,20.44,19.6,19.77,"131,382,800"
6-Aug-25,20.12,20.48,19.87,20.41,"67,074,200"
5-Aug-25,19.7,20.54,19.68,20.19,"97,338,200"
4-Aug-25,19.52,19.59,19.35,19.5,"69,249,400"
1-Aug-25,19.5,19.55,18.97,19.31,"86,496,100"
31-Jul-25,20.17,20.23,19.66,19.8,"90,665,200"
30-Jul-25,20.43,20.62,20.08,20.34,"67,420,300"
29-Jul-25,20.69,20.85,20.34,20.41,"100,831,500"
28-Jul-25,20.82,21.29,20.65,20.68,"86,105,600"
25-Jul-25,20.68,21.05,20.36,20.7,"245,077,700"
24-Jul-25,23.49,23.58,22.6,22.63,"131,963,300"
23-Jul-25,23.26,23.62,22.92,23.49,"68,711,700"
22-Jul-25,23.34,23.54,23.08,23.24,"53,969,800"
21-Jul-25,23.4,23.83,23.16,23.26,"61,658,000"
18-Jul-25,23.22,23.59,22.9,23.1,"60,195,600"
17-Jul-25,22.66,23.05,22.59,22.8,"49,384,000"
16-Jul-25,22.99,23.13,22.25,22.69,"58,865,900"
15-Jul-25,23.57,23.78,22.9,22.92,"66,099,400"
14-Jul-25,23.24,23.4,22.88,23.3,"48,420,500"
11-Jul-25,23.56,23.66,23.16,23.43,"49,367,900"
10-Jul-25,23.63,24.04,23.48,23.82,"54,599,800"
